h         |Simétrica 3 pontos|P/frente 2 pontos|P/trás 2 pontos|Simétrica 5 pontos|Segunda simétrica 5 pontos|Terceira anti-simétrica 5 pontos
0.50000000|     -3.6025216998869656|    -11.2045456049793675|      3.9995022052054363|     -4.9552188200936813|    -38.7060662955646606|           32.4647308849611917
0.20000000|     18.5818381653980929|     31.1391887040118931|      6.0244876267842971|     27.6654922024588217|    189.3242438049486793|        -1362.5480649520120551
0.10000000|     11.0721907836110365|     14.7229043023163886|      7.4214772649056853|      8.5689749896820171|     55.4945245431638483|         1501.9294315964261841
0.05000000|     10.0854159656346969|     11.7383051332046939|      8.4325267980646998|      9.7564910263092504|     63.8159978614317822|          789.4198308545273903
0.01000000|      9.8079876444064276|     10.1288708056625421|      9.4871044831503113|      9.7967268596284161|     64.0979380783448391|          675.6471168844130943
0.00500000|      9.7995808480321198|      9.9598755539520809|      9.6392861421121605|      9.7967785825740297|     64.0983005062831666|          672.5437400104460721
0.00100000|      9.7968939343214334|      9.8289434891886298|      9.7648443794542370|      9.7967820083562565|     64.0983245123407812|          671.5557272593035805
0.00050000|      9.7968099937018565|      9.8128346244837719|      9.7807853629199428|      9.7967820134952568|     64.0983245483120072|          671.5248928175897163
0.00010000|      9.7967831330280930|      9.7999880495635026|      9.7935782164926817|      9.7967820138366584|     64.0983244966818404|          671.5153387117686634
0.00005000|      9.7967822936350721|      9.7983847517573377|      9.7951798355128066|      9.7967820138373973|     64.0983246891205170|          671.5144505332816607
0.00001000|      9.7967820250365882|      9.7971025166335082|      9.7964615334396683|      9.7967820138455401|     64.0983210031798905|          671.4629361810349337
0.00000100|      9.7967820140474942|      9.7968140631886929|      9.7967499649062937|      9.7967820138994650|     64.0984675983604859|          555.1115165171437411
0.00000010|      9.7967820121614366|      9.7967852173752714|      9.7967788069476018|      9.7967820121614366|     64.1301811469013643|       222044.5971405268355738
0.00000001|      9.7967820007799986|      9.7967823338469078|      9.7967816677130894|      9.7967819989296263|     68.6487911904109183|    222044608.9734402894973755
